Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating,Platform
Ace Combat 2,1997,Simulation,Sony Computer Entertainment,160000.0,110000.0,560000.0,60000.0,890000.0,83,82.0,22.0,Namco,T,PS
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,880000.0,340000.0,320000.0,180000.0,1710000.0,84,91.0,81.0,Namco,T,PS2
Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,690000.0,40000.0,220000.0,60000.0,1010000.0,80,79.0,101.0,Project Aces,T,X360
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,370000.0,300000.0,120000.0,190000.0,990000.0,75,83.0,30.0,Project Aces,T,PSP
Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,150000.0,120000.0,200000.0,40000.0,510000.0,75,84.0,55.0,Namco,T,PS2
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,300000.0,150000.0,220000.0,70000.0,740000.0,77,67.0,82.0,Project Aces,T,"PS3,X360"
Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,100000.0,60000.0,80000.0,10000.0,240000.0,71,78.0,26.0,Project Aces,T,3DS
Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,60000.0,50000.0,150000.0,30000.0,290000.0,71,72.0,12.0,Project Aces,T,PSP
Active Life: Outdoor Challenge,2008,Sports,Atari,780000.0,430000.0,190000.0,140000.0,1540000.0,69,81.0,14.0,h.a.n.d. Inc.,E,Wii
Activision Anthology,2002,Misc,Activision,250000.0,190000.0,0.0,60000.0,500000.0,75,77.0,6.0,Contraband Entertainment,E,PS2
Advance Wars,2001,Strategy,Nintendo,500000.0,190000.0,0.0,10000.0,700000.0,92,90.0,95.0,Intelligent Systems,E,GBA
Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,470000.0,170000.0,0.0,10000.0,650000.0,89,94.0,97.0,Intelligent Systems,E,GBA
Advance Wars: Dual Strike,2005,Strategy,Nintendo,300000.0,20000.0,40000.0,30000.0,390000.0,90,90.0,163.0,Intelligent Systems,E,DS
Advent Rising,2005,Action,THQ,100000.0,30000.0,0.0,0.0,130000.0,68,75.0,68.0,GlyphX Games,T,XB
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,0.0,50000.0,0.0,0.0,60000.0,58,75.0,4.0,WayForward,E10+,"X360,3DS"
Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,20000.0,0.0,0.0,0.0,20000.0,62,65.0,11.0,"Neverland, Idea Factory",E10+,PSP
Aeon Flux,2005,Action,THQ,20000.0,20000.0,0.0,10000.0,40000.0,66,58.0,9.0,Terminal Reality,T,"PS2,XB"
Aero Elite: Combat Academy,2002,Simulation,Sega,40000.0,30000.0,0.0,10000.0,70000.0,64,70.0,8.0,Sega AM2,E,PS2
Afrika,2008,Adventure,Unknown,120000.0,0.0,80000.0,10000.0,220000.0,63,62.0,34.0,Rhino Studios,E10+,PS3
Afro Samurai,2009,Action,Atari,120000.0,50000.0,0.0,30000.0,200000.0,65,61.0,27.0,"Namco Bandai Games America, Namco Bandai Games",M,"PS3,X360"
Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,60000.0,10000.0,0.0,10000.0,70000.0,50,62.0,12.0,AWE Games,T,Wii
Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,60000.0,10000.0,0.0,10000.0,80000.0,46,73.0,6.0,AWE Games,T,Wii
Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,80000.0,10000.0,0.0,10000.0,100000.0,53,65.0,4.0,Dreamcatcher,T,DS
Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,0.0,20000.0,0.0,0.0,30000.0,83,84.0,52.0,Funcom,M,PC
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,10000.0,80000.0,0.0,10000.0,90000.0,92,90.0,801.0,Ensemble Studios,T,PC
Age of Empires III,2005,Strategy,Microsoft Game Studios,0.0,330000.0,0.0,50000.0,380000.0,81,77.0,519.0,Ensemble Studios,T,PC
Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,0.0,50000.0,0.0,10000.0,60000.0,81,85.0,71.0,Big Huge Games,T,PC
Age of Empires Online,2011,Strategy,Microsoft Game Studios,10000.0,40000.0,0.0,10000.0,60000.0,70,56.0,186.0,Gas Powered Games,E10+,PC
Age of Empires: Mythologies,2008,Strategy,THQ,160000.0,30000.0,0.0,20000.0,210000.0,78,69.0,20.0,Griptonite Games,E10+,DS
Age of Empires: The Age of Kings,2006,Strategy,THQ,180000.0,20000.0,0.0,20000.0,220000.0,80,79.0,59.0,Backbone Entertainment,E10+,DS
Age of Mythology,2002,Strategy,Microsoft Game Studios,20000.0,60000.0,0.0,10000.0,90000.0,89,89.0,484.0,Ensemble Studios,T,PC
Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,20000.0,20000.0,0.0,0.0,40000.0,84,87.0,119.0,Ensemble Studios,T,PC
Aggressive Inline,2002,Sports,Acclaim Entertainment,40000.0,10000.0,0.0,0.0,60000.0,88,78.0,5.0,"Z-Axis, Ltd.",T,"GC,PS2,XB"
Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,0.0,20000.0,0.0,10000.0,30000.0,65,64.0,24.0,Games Farm,T,PC
AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,140000.0,40000.0,0.0,10000.0,180000.0,61,71.0,7.0,KCE Studios,E,XB
AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,50000.0,40000.0,0.0,10000.0,110000.0,66,70.0,6.0,KCE Studios,T,PS2
Airblade,2001,Sports,Sony Computer Entertainment,110000.0,90000.0,0.0,30000.0,230000.0,70,58.0,12.0,Criterion Games,T,PS2
Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,60000.0,50000.0,0.0,20000.0,120000.0,39,81.0,9.0,WideScreen Games,T,PS2
Airline Tycoon 2,2011,Simulation,Kalypso Media,0.0,40000.0,0.0,10000.0,50000.0,57,55.0,30.0,Kalypso,E,PC
Alan Wake,2010,Action,Microsoft Game Studios,660000.0,500000.0,50000.0,130000.0,1330000.0,83,81.0,1156.0,Remedy Entertainment,T,"X360,PC"
Alias,2004,Action,Acclaim Entertainment,40000.0,10000.0,0.0,0.0,50000.0,64,60.0,4.0,Acclaim Studios Cheltenham,T,"XB,PS2"
Alice in Wonderland,2010,Adventure,Disney Interactive Studios,250000.0,210000.0,0.0,50000.0,510000.0,69,74.0,13.0,Etranges Libellules,E10+,Wii
Alice: Madness Returns,2011,Adventure,Electronic Arts,220000.0,240000.0,40000.0,80000.0,580000.0,70,79.0,181.0,Spicy Horse,M,"PS3,X360,PC"
Alien Hominid,2004,Shooter,Zoo Digital Publishing,50000.0,40000.0,0.0,10000.0,100000.0,78,83.0,13.0,The Behemoth,T,"PS2,GC"
Alien Resurrection,2000,Shooter,Fox Interactive,90000.0,60000.0,0.0,10000.0,160000.0,61,75.0,15.0,Argonaut Games,M,PS
Alien Syndrome,2007,Role-Playing,Sega,70000.0,0.0,0.0,10000.0,80000.0,51,60.0,9.0,Totally Games,T,"PSP,Wii"
Alien: Isolation,2014,Shooter,Sega,0.0,140000.0,0.0,10000.0,140000.0,81,84.0,1588.0,Creative Assembly,M,"PC,XOne,PS4"
Aliens in the Attic,2009,Action,Playlogic Game Factory,50000.0,0.0,0.0,0.0,50000.0,58,60.0,5.0,Engine Software,E10+,DS
Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,90000.0,70000.0,0.0,20000.0,190000.0,66,84.0,30.0,Zono Inc.,T,"PS2,XB"
Aliens vs Predator,2010,Shooter,Sega,0.0,170000.0,0.0,20000.0,190000.0,68,74.0,985.0,Rebellion,M,"PC,PS3,X360"
Aliens vs Predator: Requiem,2007,Action,Vivendi Games,30000.0,120000.0,0.0,70000.0,220000.0,49,56.0,19.0,Rebellion,T,PSP
Aliens: Colonial Marines,2013,Shooter,Sega,200000.0,290000.0,0.0,110000.0,600000.0,43,36.0,295.0,Gearbox Software,M,"PS3,PC,X360"
Aliens: Infestation,2011,Action,Sega,90000.0,50000.0,0.0,20000.0,160000.0,76,82.0,29.0,"Gearbox Software, WayForward",T,DS
All-Pro Football 2K8,2007,Sports,Take-Two Interactive,240000.0,0.0,0.0,20000.0,260000.0,75,68.0,52.0,Visual Concepts,E10+,"X360,PS3"
All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,170000.0,40000.0,0.0,10000.0,220000.0,66,56.0,9.0,Acclaim,E,"GC,PS2"
All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,120000.0,30000.0,0.0,0.0,150000.0,83,80.0,6.0,Acclaim,E,"GC,PS2,XB"
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,60000.0,20000.0,0.0,0.0,80000.0,80,92.0,5.0,Acclaim,E,"GC,XB,PS2"
Alone in the Dark,2008,Adventure,Atari,0.0,10000.0,0.0,0.0,10000.0,55,57.0,148.0,Eden Studios,M,"PC,X360,Wii,PS2"
Alone in the Dark: Inferno,2008,Adventure,Atari,90000.0,30000.0,0.0,20000.0,130000.0,69,56.0,50.0,Eden Studios,M,PS3
Alpha Protocol,2010,Role-Playing,Sega,0.0,30000.0,0.0,10000.0,30000.0,72,75.0,511.0,Obsidian Entertainment,M,"PC,PS3,X360"
Alter Echo,2003,Shooter,THQ,60000.0,50000.0,0.0,20000.0,130000.0,62,70.0,9.0,Outrage Games,T,PS2
Alter Ego,1985,Simulation,Activision,0.0,30000.0,0.0,10000.0,30000.0,59,58.0,19.0,"Viva Media, Viva Media, LLC",T,PC
Altered Beast: Guardian of the Realms,2002,Action,THQ,70000.0,20000.0,0.0,0.0,90000.0,63,48.0,4.0,3d6 Games,T,GBA
Alundra,1997,Role-Playing,Psygnosis,130000.0,90000.0,0.0,10000.0,230000.0,86,90.0,41.0,Matrix Software,T,PS
Alvin and the Chipmunks,2007,Misc,Eidos Interactive,50000.0,0.0,0.0,0.0,50000.0,30,36.0,20.0,Sensory Sweep,E,"Wii,PS2"
Amazing Island,2004,Strategy,Sega,40000.0,10000.0,0.0,0.0,60000.0,59,66.0,7.0,Hitmaker,E,GC
America's Army: Rise of a Soldier,2005,Shooter,Ubisoft,190000.0,50000.0,0.0,10000.0,250000.0,70,74.0,21.0,Secret Level,T,XB
America's Army: True Soldiers,2007,Shooter,Ubisoft,80000.0,0.0,0.0,10000.0,80000.0,43,67.0,55.0,Red Storm Entertainment,T,X360
America's Test Kitchen: Let's Get Cooking,2010,Simulation,Nintendo,250000.0,0.0,0.0,20000.0,260000.0,87,56.0,9.0,Indies Zero,E,DS
American Chopper,2004,Racing,Zoo Digital Publishing,350000.0,10000.0,0.0,60000.0,420000.0,47,75.0,13.0,Creat Studios,T,"PS2,XB"
American Idol,2003,Misc,Codemasters,270000.0,210000.0,0.0,70000.0,550000.0,41,48.0,12.0,Hothouse Creations,E,PS2
Amped 2,2003,Sports,Microsoft Game Studios,200000.0,40000.0,0.0,10000.0,250000.0,80,77.0,20.0,Indie Built,E,XB
Amped 3,2005,Sports,Take-Two Interactive,130000.0,20000.0,0.0,10000.0,160000.0,72,71.0,36.0,2K Sports,T,X360
Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios,690000.0,110000.0,0.0,20000.0,820000.0,78,90.0,20.0,Indie Built,E,XB
Amplitude,2003,Misc,Sony Computer Entertainment,90000.0,70000.0,0.0,20000.0,180000.0,86,88.0,26.0,Harmonix Music Systems,T,PS2
Anarchy Reigns,2012,Action,Sega,100000.0,30000.0,60000.0,20000.0,200000.0,71,82.0,106.0,PlatinumGames,M,"PS3,X360"
Angry Birds Star Wars,2013,Strategy,Activision,110000.0,40000.0,0.0,20000.0,160000.0,53,69.0,63.0,Exient Entertainment,E,"XOne,PS4,PS3,X360"
Angry Birds Trilogy,2012,Action,Activision,120000.0,20000.0,0.0,30000.0,160000.0,66,37.0,20.0,"Rovio Mobile, Rovio Entertainment",E,"PS3,3DS,X360"
AniMates!,2007,Simulation,Lexicon Entertainment,20000.0,0.0,0.0,0.0,30000.0,33,25.0,4.0,Dreamcatcher,E,DS
Animal Crossing,2001,Simulation,Nintendo,1920000.0,160000.0,990000.0,90000.0,3150000.0,87,89.0,137.0,Nintendo,E,GC
Animal Crossing: Amiibo Festival,2015,Misc,Nintendo,190000.0,110000.0,90000.0,30000.0,410000.0,46,44.0,173.0,"Nintendo, Nd Cube",E,WiiU
Animal Crossing: City Folk,2008,Simulation,Nintendo,1820000.0,1120000.0,1320000.0,360000.0,4620000.0,73,76.0,119.0,Nintendo,E,Wii
Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,510000.0,1020000.0,1400000.0,120000.0,3050000.0,66,69.0,106.0,Nintendo,E,3DS
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2029999.9999999998,2360000.0,4390000.0,390000.0,9160000.0,88,87.0,626.0,Nintendo,E,3DS
Animal Crossing: Wild World,2005,Simulation,Nintendo,2500000.0,3450000.0,5330000.0,860000.0,12130000.0,86,87.0,242.0,Nintendo,E,DS
Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,70000.0,50000.0,0.0,10000.0,130000.0,78,75.0,19.0,Sunflowers Interactive,E,DS
Anno 2070,2011,Strategy,Ubisoft,0.0,1130000.0,0.0,290000.0,1430000.0,83,70.0,493.0,"Blue Byte, Related Designs",T,PC
Anno 2205,2015,Strategy,Ubisoft,20000.0,220000.0,0.0,20000.0,250000.0,72,59.0,278.0,Blue Byte,E10+,PC
Antz Extreme Racing,2002,Racing,Empire Interactive,20000.0,20000.0,0.0,10000.0,40000.0,31,50.0,8.0,Empire Interactive,E,"PS2,XB"
Anubis II,2007,Platform,Metro 3D,60000.0,0.0,0.0,0.0,70000.0,19,27.0,28.0,Data Design Interactive,E,Wii
Apache: Air Assault,2010,Simulation,Just Flight,0.0,30000.0,0.0,0.0,30000.0,64,75.0,18.0,Gaijin Entertainment,T,"PC,X360,PS3"
Ape Escape,1999,Platform,Sony Computer Entertainment,710000.0,480000.0,320000.0,110000.0,1630000.0,90,88.0,53.0,SCEI,E,PS
Ape Escape 2,2002,Platform,Sony Computer Entertainment,120000.0,90000.0,380000.0,30000.0,630000.0,82,84.0,32.0,SCE Japan Studio,E,PS2
Ape Escape 3,2005,Platform,Sony Computer Entertainment,60000.0,50000.0,0.0,20000.0,130000.0,77,85.0,22.0,SCE Japan Studio,E10+,PS2
Ape Escape Academy,2004,Misc,Sony Computer Entertainment,130000.0,150000.0,0.0,50000.0,330000.0,51,58.0,4.0,Shift,E10+,PSP
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,520000.0,0.0,120000.0,50000.0,700000.0,66,64.0,16.0,"SCEA, Sims",E,PSP
Apex,2003,Racing,Atari,100000.0,30000.0,0.0,0.0,140000.0,74,91.0,7.0,Milestone S.r.l,E,XB
Apollo Justice: Ace Attorney,2007,Adventure,Capcom,280000.0,40000.0,640000.0,30000.0,990000.0,78,81.0,84.0,Capcom,T,DS
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,30000.0,30000.0,0.0,10000.0,70000.0,37,59.0,10.0,Creat Studios,M,PS2
Aquaman: Battle for Atlantis,2003,Action,TDK Mediactive,10000.0,0.0,0.0,0.0,10000.0,27,31.0,19.0,TDK Mediactive,T,GC
Aquapazza: Aquaplus Dream Match,2012,Fighting,Aqua Plus,50000.0,0.0,50000.0,10000.0,110000.0,75,78.0,20.0,Examu,T,PS3
Ar Nosurge: Ode to an Unborn Star,2014,Role-Playing,Tecmo Koei,50000.0,30000.0,60000.0,20000.0,160000.0,67,78.0,49.0,Gust,T,PS3
Ar tonelico Qoga: Knell of Ar Ciel,2010,Role-Playing,Tecmo Koei,80000.0,10000.0,130000.0,10000.0,240000.0,61,54.0,101.0,Gust,M,PS3
Ar tonelico: Melody of Elemia,2006,Role-Playing,505 Games,0.0,0.0,100000.0,0.0,100000.0,71,77.0,43.0,Gust,T,PS2
Arc Rise Fantasia,2009,Role-Playing,Marvelous Interactive,120000.0,0.0,60000.0,10000.0,190000.0,64,78.0,43.0,"Image Epoch, Imageepoch",T,Wii
Arc the Lad: End of Darkness,2004,Role-Playing,Sony Computer Entertainment,30000.0,20000.0,0.0,10000.0,60000.0,59,42.0,10.0,Cattle Call,T,PS2
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,180000.0,140000.0,0.0,50000.0,360000.0,72,82.0,33.0,Cattle Call,T,PS2
Arcana Heart,2007,Fighting,AQ Interactive,60000.0,50000.0,40000.0,20000.0,160000.0,77,81.0,8.0,Examu,T,PS2
Arcana Heart 3,2011,Fighting,PQube,40000.0,40000.0,100000.0,20000.0,200000.0,73,75.0,27.0,Examu,T,PS3
Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,40000.0,40000.0,10000.0,10000.0,90000.0,64,52.0,52.0,Spellbound,T,"X360,PC"
Archer Maclean's Mercury,2005,Puzzle,Ignition Entertainment,170000.0,240000.0,0.0,140000.0,560000.0,75,66.0,21.0,Awesome Studios,E,PSP
Arctic Thunder,2001,Racing,Midway Games,170000.0,140000.0,0.0,50000.0,360000.0,45,53.0,10.0,Inland Productions,T,PS2
Area 51,2005,Shooter,Midway Games,220000.0,170000.0,0.0,60000.0,450000.0,75,84.0,52.0,Midway Studios - Austin,M,"PS2,XB"
Arena Football,2006,Sports,Electronic Arts,280000.0,220000.0,0.0,70000.0,560000.0,66,86.0,14.0,EA Tiburon,E10+,"PS2,XB"
Arkanoid DS,2007,Puzzle,Square Enix,60000.0,0.0,0.0,0.0,60000.0,61,70.0,5.0,Taito Corporation,E,DS
ArmA II,2009,Shooter,505 Games,0.0,120000.0,0.0,20000.0,140000.0,77,75.0,589.0,Bohemia Interactive,M,PC
ArmA III,2013,Shooter,Bohemia Interactive,0.0,100000.0,0.0,10000.0,110000.0,74,74.0,866.0,Bohemia Interactive,M,PC
Armed and Dangerous,2003,Shooter,LucasArts,90000.0,30000.0,0.0,0.0,130000.0,79,72.0,15.0,Planet Moon Studios,T,XB
Armored Core 2,2000,Simulation,Ubisoft,280000.0,220000.0,230000.0,70000.0,790000.0,78,84.0,19.0,From Software,T,PS2
Armored Core 2: Another Age,2001,Simulation,Metro 3D,110000.0,80000.0,190000.0,30000.0,410000.0,75,88.0,30.0,From Software,T,PS2
Armored Core 3,2002,Simulation,Metro 3D,220000.0,170000.0,230000.0,60000.0,670000.0,74,90.0,33.0,From Software,T,PS2
Armored Core 3 Portable,2009,Simulation,From Software,0.0,0.0,80000.0,0.0,80000.0,43,67.0,6.0,From Software,T,PSP
Armored Core 4,2007,Simulation,505 Games,190000.0,10000.0,30000.0,20000.0,250000.0,65,72.0,31.0,From Software,T,"X360,PS3"
Armored Core V,2012,Simulation,Namco Bandai Games,90000.0,40000.0,240000.0,20000.0,390000.0,65,73.0,47.0,From Software,T,"PS3,X360"
Armored Core: For Answer,2008,Simulation,Ubisoft,60000.0,10000.0,70000.0,10000.0,150000.0,64,77.0,38.0,From Software,T,"X360,PS3"
Armored Core: Last Raven,2005,Simulation,505 Games,50000.0,40000.0,80000.0,10000.0,180000.0,59,89.0,14.0,From Software,T,PS2
Armored Core: Nexus,2004,Simulation,Indie Games,60000.0,50000.0,140000.0,20000.0,260000.0,73,87.0,7.0,From Software,T,PS2
Armored Core: Nine Breaker,2004,Simulation,505 Games,30000.0,30000.0,0.0,10000.0,70000.0,57,82.0,5.0,From Software,T,PS2
Armored Core: Verdict Day,2013,Simulation,From Software,0.0,0.0,120000.0,0.0,120000.0,66,74.0,28.0,From Software,T,PS3
Army Corps of Hell,2011,Action,Square Enix,40000.0,40000.0,0.0,20000.0,90000.0,57,66.0,28.0,"Entersphere, Inc.",M,PSV
Army Men: Air Attack 2,2000,Action,3DO,170000.0,110000.0,0.0,20000.0,300000.0,74,53.0,4.0,3DO,T,PS
Army Men: Green Rogue,2001,Action,3DO,60000.0,50000.0,0.0,20000.0,130000.0,39,38.0,4.0,3DO,T,PS2
Army Men: Major Malfunction,2006,Shooter,Global Star,10000.0,0.0,0.0,0.0,20000.0,36,40.0,5.0,Team 17,T,XB
Army Men: Sarge's Heroes 2,2000,Shooter,3DO,140000.0,90000.0,0.0,20000.0,240000.0,48,73.0,7.0,3DO,T,"PS,PS2"
Army Men: Sarge's War,2004,Shooter,Global Star,120000.0,30000.0,0.0,0.0,150000.0,56,67.0,7.0,3DO,T,GC
Army of Two,2008,Shooter,Electronic Arts,1090000.0,370000.0,20000.0,160000.0,1640000.0,72,76.0,233.0,EA Montreal,M,"X360,PS3"
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,620000.0,240000.0,0.0,90000.0,950000.0,73,73.0,126.0,EA Montreal,M,"X360,PS3,PSP"
Army of Two: The Devil's Cartel,2013,Shooter,Electronic Arts,110000.0,110000.0,10000.0,50000.0,280000.0,58,67.0,100.0,Visceral Games,M,"PS3,X360"
Arslan: The Warriors of Legend,2015,Action,Tecmo Koei,30000.0,10000.0,40000.0,10000.0,90000.0,69,66.0,23.0,Omega Force,T,PS4
Art Academy,2010,Misc,Nintendo,260000.0,1650000.0,330000.0,280000.0,2520000.0,75,80.0,5.0,Headstrong Games,E,DS
Art Academy: Home Studio,2015,Misc,Nintendo,0.0,0.0,10000.0,0.0,10000.0,82,83.0,20.0,Headstrong Games,E,WiiU
