Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73,56.0,18.0,EA Sports,E
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82,78.0,57.0,EA Canada,E
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69,74.0,9.0,Electronic Arts,E
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83,81.0,58.0,Electronic Arts,E
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70,67.0,11.0,Electronic Arts,E
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73,43.0,87.0,EA Canada,E
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74,44.0,93.0,EA Canada,E
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62,82.0,40.0,SCE Studio Cambridge,M
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39,49.0,46.0,"Ritual Entertainment, Avalanche Software",M
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41,72.0,13.0,"Ritual Entertainment, Avalanche Software",M
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55,71.0,14.0,Collision Studios,M
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77,80.0,96.0,Silicon Studio,E10+
4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,59,62.0,5.0,Terminal Reality,E
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72,72.0,57.0,Swordfish Studios,M
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0.0,0.02,0.21,71,64.0,64.0,Swordfish Studios,M
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50,59.0,21.0,Genuine Games,M
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47,66.0,129.0,Genuine Games,M
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60,83.0,48.0,Hot Lava Games,E
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77,82.0,38.0,Sega,T
A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,80,87.0,35.0,WayForward,E
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,75,85.0,25.0,Autumn Moon,T
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,50,62.0,9.0,"Nippon Ichi Software, Hit Maker",E10+
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60,53.0,14.0,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63,49.0,10.0,Harmonix Music Systems,T
AMF Bowling 2004,XB,2003,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,48,44.0,8.0,Mud Duck Productions,E
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02,30,42.0,5.0,"Atomic Planet Entertainment, Mud Duck Productions",E
APB Reloaded,PC,2011,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04,56,57.0,269.0,"Reloaded Productions, Reloaded Games Inc.",M
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,82,84.0,53.0,Rainbow Studios,E
ATV Offroad Fury 2,PS2,2002,Racing,THQ,1.92,0.2,0.0,0.06,2.18,82,89.0,28.0,Rainbow Studios,E
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,78,84.0,16.0,Climax Group,E
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63,78.0,16.0,Climax Group,E
ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70,90.0,4.0,Climax Group,E
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64,68.0,14.0,Ubisoft Vancouver,E
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78,84.0,79.0,Capcom,T
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89,91.0,95.0,Namco,E
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,82.0,22.0,Namco,T
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,91.0,81.0,Namco,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,79.0,101.0,Project Aces,T
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,83.0,30.0,Project Aces,T
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,84.0,55.0,Namco,T
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77,67.0,82.0,Project Aces,T
Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,78,62.0,82.0,Project Aces,T
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,71,78.0,26.0,Project Aces,T
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71,72.0,12.0,Project Aces,T
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,81.0,14.0,h.a.n.d. Inc.,E
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0.0,0.06,0.5,75,77.0,6.0,Contraband Entertainment,E
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92,90.0,95.0,Intelligent Systems,E
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89,94.0,97.0,Intelligent Systems,E
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90,90.0,163.0,Intelligent Systems,E
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68,75.0,68.0,GlyphX Games,T
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0.0,0.05,0.0,0.0,0.06,58,75.0,4.0,WayForward,E10+
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,65,56.0,8.0,WayForward,E10+
Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,62,65.0,11.0,"Neverland, Idea Factory",E10+
Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0.0,0.01,0.04,66,58.0,9.0,Terminal Reality,T
Aeon Flux,XB,2005,Action,THQ,0.01,0.0,0.0,0.0,0.01,69,30.0,4.0,Terminal Reality,T
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,64,70.0,8.0,Sega AM2,E
Afrika,PS3,2008,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,63,62.0,34.0,Rhino Studios,E10+
Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0.0,0.03,0.2,65,61.0,27.0,"Namco Bandai Games America, Namco Bandai Games",M
Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0.0,0.02,0.24,65,62.0,57.0,"Namco Bandai Games America, Namco Bandai Games",M
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07,50,62.0,12.0,AWE Games,T
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,46,73.0,6.0,AWE Games,T
Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53,65.0,4.0,Dreamcatcher,T
Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83,84.0,52.0,Funcom,M
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92,90.0,801.0,Ensemble Studios,T
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81,77.0,519.0,Ensemble Studios,T
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81,85.0,71.0,Big Huge Games,T
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70,56.0,186.0,Gas Powered Games,E10+
Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.16,0.03,0.0,0.02,0.21,78,69.0,20.0,Griptonite Games,E10+
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80,79.0,59.0,Backbone Entertainment,E10+
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89,89.0,484.0,Ensemble Studios,T
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,84,87.0,119.0,Ensemble Studios,T
Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88,78.0,5.0,"Z-Axis, Ltd.",T
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85,87.0,14.0,"Z-Axis, Ltd.",T
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,85,77.0,7.0,"Z-Axis, Ltd.",T
Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65,64.0,24.0,Games Farm,T
AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61,71.0,7.0,KCE Studios,E
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,66,70.0,6.0,KCE Studios,T
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,70,58.0,12.0,Criterion Games,T
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39,81.0,9.0,WideScreen Games,T
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57,55.0,30.0,Kalypso,E
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83,81.0,1156.0,Remedy Entertainment,T
Alan Wake,PC,2012,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06,83,80.0,1473.0,Remedy Entertainment,T
Alias,XB,2004,Action,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.05,64,60.0,4.0,Acclaim Studios Cheltenham,T
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0.0,0.01,0.11,64,80.0,10.0,Acclaim Studios Cheltenham,T
Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.25,0.21,0.0,0.05,0.51,69,74.0,13.0,Etranges Libellules,E10+
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70,79.0,181.0,Spicy Horse,M
Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,70,81.0,157.0,Spicy Horse,M
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75,84.0,559.0,Spicy Horse,M
Alien Hominid,PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1,78,83.0,13.0,The Behemoth,T
Alien Hominid,GC,2004,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09,78,85.0,15.0,The Behemoth,T
Alien Resurrection,PS,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,61,75.0,15.0,Argonaut Games,M
Alien Syndrome,PSP,2007,Role-Playing,Sega,0.07,0.0,0.0,0.01,0.08,51,60.0,9.0,Totally Games,T
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.05,0.0,0.0,0.0,0.06,48,71.0,23.0,Totally Games,T
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81,84.0,1588.0,Creative Assembly,M
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78,78.0,314.0,Creative Assembly,M
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,81.0,795.0,Creative Assembly,M
Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05,58,60.0,5.0,Engine Software,E10+
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66,84.0,30.0,Zono Inc.,T
Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts,0.06,0.02,0.0,0.0,0.08,64,77.0,21.0,Zono Inc.,T
Aliens vs Predator,PC,2010,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68,74.0,985.0,Rebellion,M
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65,73.0,168.0,Rebellion,M
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,64,73.0,247.0,Rebellion,M
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22,49,56.0,19.0,Rebellion,T
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43,36.0,295.0,Gearbox Software,M
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45,35.0,1156.0,Gearbox Software,M
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48,38.0,449.0,Gearbox Software,M
Aliens: Infestation,DS,2011,Action,Sega,0.09,0.05,0.0,0.02,0.16,76,82.0,29.0,"Gearbox Software, WayForward",T
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75,68.0,52.0,Visual Concepts,E10+
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,73,73.0,21.0,Visual Concepts,E10+
All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,66,56.0,9.0,Acclaim,E
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77,76.0,8.0,Acclaim Studios Austin,E
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,83,80.0,6.0,Acclaim,E
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,81,84.0,17.0,Acclaim Studios Austin,E
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,79,81.0,7.0,Acclaim,E
All-Star Baseball 2004,GC,2003,Sports,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,80,92.0,5.0,Acclaim,E
All-Star Baseball 2004,XB,2003,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,74,84.0,7.0,Acclaim,E
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42,78,75.0,11.0,Acclaim Studios Austin,E
Alone in the Dark,PC,2008,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,55,57.0,148.0,Eden Studios,M
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0.0,0.05,0.48,58,57.0,162.0,Eden Studios,M
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0.0,0.02,0.18,39,44.0,34.0,Hydravision,M
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0.0,0.01,0.06,47,54.0,24.0,Hydravision,M
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0.0,0.02,0.13,69,56.0,50.0,Eden Studios,M
Alpha Protocol,PC,2010,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72,75.0,511.0,Obsidian Entertainment,M
Alpha Protocol,PS3,2010,Role-Playing,Sega,0.19,0.17,0.0,0.07,0.43,64,69.0,117.0,Obsidian Entertainment,M
Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.12,0.0,0.04,0.39,63,72.0,201.0,Obsidian Entertainment,M
Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0.0,0.02,0.13,62,70.0,9.0,Outrage Games,T
Alter Ego,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03,59,58.0,19.0,"Viva Media, Viva Media, LLC",T
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,0.07,0.02,0.0,0.0,0.09,63,48.0,4.0,3d6 Games,T
Alundra,PS,1997,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23,86,90.0,41.0,Matrix Software,T
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0.0,0.0,0.0,0.05,30,36.0,20.0,Sensory Sweep,E
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0.0,0.01,0.07,33,45.0,6.0,Sensory Sweep,E
Amazing Island,GC,2004,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,59,66.0,7.0,Hitmaker,E
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70,74.0,21.0,Secret Level,T
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0.0,0.0,0.01,0.08,43,67.0,55.0,Red Storm Entertainment,T
America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87,56.0,9.0,Indies Zero,E
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,47,75.0,13.0,Creat Studios,T
American Chopper,XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,44,59.0,9.0,Creat Studios,T
American Idol,PS2,2003,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55,41,48.0,12.0,Hothouse Creations,E
Amped 2,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,80,77.0,20.0,Indie Built,E
Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16,72,71.0,36.0,2K Sports,T
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78,90.0,20.0,Indie Built,E
Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,86,88.0,26.0,Harmonix Music Systems,T
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,82.0,106.0,PlatinumGames,M
Anarchy Reigns,X360,2012,Action,Sega,0.12,0.02,0.02,0.01,0.17,73,79.0,105.0,PlatinumGames,M
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53,69.0,63.0,Exient Entertainment,E
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0.0,0.04,0.21,47,20.0,87.0,Exient Entertainment,E
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0.0,0.05,0.29,49,36.0,23.0,Exient Entertainment,E
Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59,56.0,25.0,Exient Entertainment,E
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0.0,0.03,0.16,66,37.0,20.0,"Rovio Mobile, Rovio Entertainment",E
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0.0,0.05,0.63,62,46.0,20.0,Exient Entertainment,E
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0.0,0.02,0.26,63,35.0,27.0,"Rovio Mobile, Rovio Entertainment",E
AniMates!,DS,2007,Simulation,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.03,33,25.0,4.0,Dreamcatcher,E
Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,87,89.0,137.0,Nintendo,E
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46,44.0,173.0,"Nintendo, Nd Cube",E
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,76.0,119.0,Nintendo,E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66,69.0,106.0,Nintendo,E
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,87.0,626.0,Nintendo,E
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,87.0,242.0,Nintendo,E
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.05,0.0,0.01,0.13,78,75.0,19.0,Sunflowers Interactive,E
Anno 2070,PC,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43,83,70.0,493.0,"Blue Byte, Related Designs",T
Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72,59.0,278.0,Blue Byte,E10+
Antz Extreme Racing,PS2,2002,Racing,Empire Interactive,0.02,0.02,0.0,0.01,0.04,31,50.0,8.0,Empire Interactive,E
Antz Extreme Racing,XB,2002,Racing,Empire Interactive,0.01,0.0,0.0,0.0,0.02,35,87.0,10.0,Supersonic Software,E
Anubis II,Wii,2007,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07,19,27.0,28.0,Data Design Interactive,E
Apache: Air Assault,PC,2010,Simulation,Just Flight,0.0,0.03,0.0,0.0,0.03,64,75.0,18.0,Gaijin Entertainment,T
Apache: Air Assault,X360,2010,Simulation,Activision,0.12,0.03,0.0,0.01,0.16,70,64.0,31.0,Gaijin Entertainment,T
Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.06,0.0,0.03,0.2,66,61.0,12.0,Gaijin Entertainment,T
Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,88.0,53.0,SCEI,E
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82,84.0,32.0,SCE Japan Studio,E
Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,77,85.0,22.0,SCE Japan Studio,E10+
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51,58.0,4.0,Shift,E10+
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7,66,64.0,16.0,"SCEA, Sims",E
Apex,XB,2003,Racing,Atari,0.1,0.03,0.0,0.0,0.14,74,91.0,7.0,Milestone S.r.l,E
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78,81.0,84.0,Capcom,T
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0.0,0.01,0.07,37,59.0,10.0,Creat Studios,M
Aquaman: Battle for Atlantis,GC,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01,27,31.0,19.0,TDK Mediactive,T
