Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating,Platform
24: The Game,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62,82.0,40.0,SCE Studio Cambridge,M,PS2
25 to Life,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39,49.0,46.0,"Ritual Entertainment, Avalanche Software",M,"PS2,XB"
300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55,71.0,14.0,Collision Studios,M,PSP
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77,80.0,96.0,Silicon Studio,E10+,PS3
4x4 EVO 2,2001,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,59,62.0,5.0,Terminal Reality,E,XB
50 Cent: Blood on the Sand,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72,72.0,57.0,Swordfish Studios,M,"PS3,X360"
50 Cent: Bulletproof,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50,59.0,21.0,Genuine Games,M,"XB,PS2"
7 Wonders of the Ancient World,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60,83.0,48.0,Hot Lava Games,E,DS
7th Dragon III Code: VFD,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77,82.0,38.0,Sega,T,3DS
A Boy and His Blob,2009,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,80,87.0,35.0,WayForward,E,Wii
A Vampyre Story,2008,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,75,85.0,25.0,Autumn Moon,T,PC
A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,50,62.0,9.0,"Nippon Ichi Software, Hit Maker",E10+,DS
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60,53.0,14.0,Harmonix Music Systems,T,"PS3,X360"
AMF Bowling 2004,2003,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,48,44.0,8.0,Mud Duck Productions,E,XB
AMF Xtreme Bowling,2006,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02,30,42.0,5.0,"Atomic Planet Entertainment, Mud Duck Productions",E,PS2
APB Reloaded,2011,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04,56,57.0,269.0,"Reloaded Productions, Reloaded Games Inc.",M,PC
ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,82,84.0,53.0,Rainbow Studios,E,PS2
ATV Offroad Fury 2,2002,Racing,THQ,1.92,0.2,0.0,0.06,2.18,82,89.0,28.0,Rainbow Studios,E,PS2
ATV Offroad Fury 3,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,78,84.0,16.0,Climax Group,E,PS2
ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63,78.0,16.0,Climax Group,E,PSP
ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70,90.0,4.0,Climax Group,E,GC
Academy of Champions: Soccer,2009,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64,68.0,14.0,Ubisoft Vancouver,E,Wii
Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78,84.0,79.0,Capcom,T,DS
Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89,91.0,95.0,Namco,E,PS2
Ace Combat 2,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,82.0,22.0,Namco,T,PS
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,91.0,81.0,Namco,T,PS2
Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,79.0,101.0,Project Aces,T,X360
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,83.0,30.0,Project Aces,T,PSP
Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,84.0,55.0,Namco,T,PS2
Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77,67.0,82.0,Project Aces,T,"PS3,X360"
Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,71,78.0,26.0,Project Aces,T,3DS
Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71,72.0,12.0,Project Aces,T,PSP
Active Life: Outdoor Challenge,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,81.0,14.0,h.a.n.d. Inc.,E,Wii
Activision Anthology,2002,Misc,Activision,0.25,0.19,0.0,0.06,0.5,75,77.0,6.0,Contraband Entertainment,E,PS2
Advance Wars,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92,90.0,95.0,Intelligent Systems,E,GBA
Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89,94.0,97.0,Intelligent Systems,E,GBA
Advance Wars: Dual Strike,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90,90.0,163.0,Intelligent Systems,E,DS
Advent Rising,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68,75.0,68.0,GlyphX Games,T,XB
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,0.0,0.05,0.0,0.0,0.06,58,75.0,4.0,WayForward,E10+,"X360,3DS"
Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,62,65.0,11.0,"Neverland, Idea Factory",E10+,PSP
Aeon Flux,2005,Action,THQ,0.02,0.02,0.0,0.01,0.04,66,58.0,9.0,Terminal Reality,T,"PS2,XB"
Aero Elite: Combat Academy,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,64,70.0,8.0,Sega AM2,E,PS2
Afrika,2008,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,63,62.0,34.0,Rhino Studios,E10+,PS3
Afro Samurai,2009,Action,Atari,0.12,0.05,0.0,0.03,0.2,65,61.0,27.0,"Namco Bandai Games America, Namco Bandai Games",M,"PS3,X360"
Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07,50,62.0,12.0,AWE Games,T,Wii
Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,46,73.0,6.0,AWE Games,T,Wii
Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53,65.0,4.0,Dreamcatcher,T,DS
Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83,84.0,52.0,Funcom,M,PC
Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92,90.0,801.0,Ensemble Studios,T,PC
Age of Empires III,2005,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81,77.0,519.0,Ensemble Studios,T,PC
Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81,85.0,71.0,Big Huge Games,T,PC
Age of Empires Online,2011,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70,56.0,186.0,Gas Powered Games,E10+,PC
Age of Empires: Mythologies,2008,Strategy,THQ,0.16,0.03,0.0,0.02,0.21,78,69.0,20.0,Griptonite Games,E10+,DS
Age of Empires: The Age of Kings,2006,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80,79.0,59.0,Backbone Entertainment,E10+,DS
Age of Mythology,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89,89.0,484.0,Ensemble Studios,T,PC
Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,84,87.0,119.0,Ensemble Studios,T,PC
Aggressive Inline,2002,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88,78.0,5.0,"Z-Axis, Ltd.",T,"GC,PS2,XB"
Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65,64.0,24.0,Games Farm,T,PC
AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61,71.0,7.0,KCE Studios,E,XB
AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,66,70.0,6.0,KCE Studios,T,PS2
Airblade,2001,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,70,58.0,12.0,Criterion Games,T,PS2
Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39,81.0,9.0,WideScreen Games,T,PS2
Airline Tycoon 2,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57,55.0,30.0,Kalypso,E,PC
Alan Wake,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83,81.0,1156.0,Remedy Entertainment,T,"X360,PC"
Alias,2004,Action,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.05,64,60.0,4.0,Acclaim Studios Cheltenham,T,"XB,PS2"
Alice in Wonderland,2010,Adventure,Disney Interactive Studios,0.25,0.21,0.0,0.05,0.51,69,74.0,13.0,Etranges Libellules,E10+,Wii
Alice: Madness Returns,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70,79.0,181.0,Spicy Horse,M,"PS3,X360,PC"
Alien Hominid,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1,78,83.0,13.0,The Behemoth,T,"PS2,GC"
Alien Resurrection,2000,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16,61,75.0,15.0,Argonaut Games,M,PS
Alien Syndrome,2007,Role-Playing,Sega,0.07,0.0,0.0,0.01,0.08,51,60.0,9.0,Totally Games,T,"PSP,Wii"
Alien: Isolation,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81,84.0,1588.0,Creative Assembly,M,"PC,XOne,PS4"
Aliens in the Attic,2009,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05,58,60.0,5.0,Engine Software,E10+,DS
Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66,84.0,30.0,Zono Inc.,T,"PS2,XB"
Aliens vs Predator,2010,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68,74.0,985.0,Rebellion,M,"PC,PS3,X360"
Aliens vs Predator: Requiem,2007,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22,49,56.0,19.0,Rebellion,T,PSP
Aliens: Colonial Marines,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43,36.0,295.0,Gearbox Software,M,"PS3,PC,X360"
Aliens: Infestation,2011,Action,Sega,0.09,0.05,0.0,0.02,0.16,76,82.0,29.0,"Gearbox Software, WayForward",T,DS
All-Pro Football 2K8,2007,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75,68.0,52.0,Visual Concepts,E10+,"X360,PS3"
All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,66,56.0,9.0,Acclaim,E,"GC,PS2"
All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,83,80.0,6.0,Acclaim,E,"GC,PS2,XB"
All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,80,92.0,5.0,Acclaim,E,"GC,XB,PS2"
Alone in the Dark,2008,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,55,57.0,148.0,Eden Studios,M,"PC,X360,Wii,PS2"
Alone in the Dark: Inferno,2008,Adventure,Atari,0.09,0.03,0.0,0.02,0.13,69,56.0,50.0,Eden Studios,M,PS3
Alpha Protocol,2010,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72,75.0,511.0,Obsidian Entertainment,M,"PC,PS3,X360"
Alter Echo,2003,Shooter,THQ,0.06,0.05,0.0,0.02,0.13,62,70.0,9.0,Outrage Games,T,PS2
Alter Ego,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03,59,58.0,19.0,"Viva Media, Viva Media, LLC",T,PC
Altered Beast: Guardian of the Realms,2002,Action,THQ,0.07,0.02,0.0,0.0,0.09,63,48.0,4.0,3d6 Games,T,GBA
Alundra,1997,Role-Playing,Psygnosis,0.13,0.09,0.0,0.01,0.23,86,90.0,41.0,Matrix Software,T,PS
Alvin and the Chipmunks,2007,Misc,Eidos Interactive,0.05,0.0,0.0,0.0,0.05,30,36.0,20.0,Sensory Sweep,E,"Wii,PS2"
Amazing Island,2004,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,59,66.0,7.0,Hitmaker,E,GC
America's Army: Rise of a Soldier,2005,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70,74.0,21.0,Secret Level,T,XB
America's Army: True Soldiers,2007,Shooter,Ubisoft,0.08,0.0,0.0,0.01,0.08,43,67.0,55.0,Red Storm Entertainment,T,X360
America's Test Kitchen: Let's Get Cooking,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87,56.0,9.0,Indies Zero,E,DS
American Chopper,2004,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,47,75.0,13.0,Creat Studios,T,"PS2,XB"
American Idol,2003,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55,41,48.0,12.0,Hothouse Creations,E,PS2
Amped 2,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,80,77.0,20.0,Indie Built,E,XB
Amped 3,2005,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16,72,71.0,36.0,2K Sports,T,X360
Amped: Freestyle Snowboarding,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78,90.0,20.0,Indie Built,E,XB
Amplitude,2003,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,86,88.0,26.0,Harmonix Music Systems,T,PS2
Anarchy Reigns,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,82.0,106.0,PlatinumGames,M,"PS3,X360"
Angry Birds Star Wars,2013,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53,69.0,63.0,Exient Entertainment,E,"XOne,PS4,PS3,X360"
Angry Birds Trilogy,2012,Action,Activision,0.12,0.02,0.0,0.03,0.16,66,37.0,20.0,"Rovio Mobile, Rovio Entertainment",E,"PS3,3DS,X360"
AniMates!,2007,Simulation,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.03,33,25.0,4.0,Dreamcatcher,E,DS
Animal Crossing,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15,87,89.0,137.0,Nintendo,E,GC
Animal Crossing: Amiibo Festival,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46,44.0,173.0,"Nintendo, Nd Cube",E,WiiU
Animal Crossing: City Folk,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,76.0,119.0,Nintendo,E,Wii
Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66,69.0,106.0,Nintendo,E,3DS
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,87.0,626.0,Nintendo,E,3DS
Animal Crossing: Wild World,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,87.0,242.0,Nintendo,E,DS
Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,0.07,0.05,0.0,0.01,0.13,78,75.0,19.0,Sunflowers Interactive,E,DS
Anno 2070,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43,83,70.0,493.0,"Blue Byte, Related Designs",T,PC
Anno 2205,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72,59.0,278.0,Blue Byte,E10+,PC
Antz Extreme Racing,2002,Racing,Empire Interactive,0.02,0.02,0.0,0.01,0.04,31,50.0,8.0,Empire Interactive,E,"PS2,XB"
Anubis II,2007,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07,19,27.0,28.0,Data Design Interactive,E,Wii
Apache: Air Assault,2010,Simulation,Just Flight,0.0,0.03,0.0,0.0,0.03,64,75.0,18.0,Gaijin Entertainment,T,"PC,X360,PS3"
Ape Escape,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,88.0,53.0,SCEI,E,PS
Ape Escape 2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82,84.0,32.0,SCE Japan Studio,E,PS2
Ape Escape 3,2005,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,77,85.0,22.0,SCE Japan Studio,E10+,PS2
Ape Escape Academy,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51,58.0,4.0,Shift,E10+,PSP
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7,66,64.0,16.0,"SCEA, Sims",E,PSP
Apex,2003,Racing,Atari,0.1,0.03,0.0,0.0,0.14,74,91.0,7.0,Milestone S.r.l,E,XB
Apollo Justice: Ace Attorney,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78,81.0,84.0,Capcom,T,DS
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,0.03,0.03,0.0,0.01,0.07,37,59.0,10.0,Creat Studios,M,PS2
Aquaman: Battle for Atlantis,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01,27,31.0,19.0,TDK Mediactive,T,GC
Aquapazza: Aquaplus Dream Match,2012,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.11,75,78.0,20.0,Examu,T,PS3
Ar Nosurge: Ode to an Unborn Star,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67,78.0,49.0,Gust,T,PS3
Ar tonelico Qoga: Knell of Ar Ciel,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,61,54.0,101.0,Gust,M,PS3
Ar tonelico: Melody of Elemia,2006,Role-Playing,505 Games,0.0,0.0,0.1,0.0,0.1,71,77.0,43.0,Gust,T,PS2
Arc Rise Fantasia,2009,Role-Playing,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19,64,78.0,43.0,"Image Epoch, Imageepoch",T,Wii
Arc the Lad: End of Darkness,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.06,59,42.0,10.0,Cattle Call,T,PS2
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,72,82.0,33.0,Cattle Call,T,PS2
Arcana Heart,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,81.0,8.0,Examu,T,PS2
Arcana Heart 3,2011,Fighting,PQube,0.04,0.04,0.1,0.02,0.2,73,75.0,27.0,Examu,T,PS3
Arcania: Gothic 4,2010,Role-Playing,JoWood Productions,0.04,0.04,0.01,0.01,0.09,64,52.0,52.0,Spellbound,T,"X360,PC"
Archer Maclean's Mercury,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,75,66.0,21.0,Awesome Studios,E,PSP
Arctic Thunder,2001,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36,45,53.0,10.0,Inland Productions,T,PS2
Area 51,2005,Shooter,Midway Games,0.22,0.17,0.0,0.06,0.45,75,84.0,52.0,Midway Studios - Austin,M,"PS2,XB"
Arena Football,2006,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,66,86.0,14.0,EA Tiburon,E10+,"PS2,XB"
Arkanoid DS,2007,Puzzle,Square Enix,0.06,0.0,0.0,0.0,0.06,61,70.0,5.0,Taito Corporation,E,DS
ArmA II,2009,Shooter,505 Games,0.0,0.12,0.0,0.02,0.14,77,75.0,589.0,Bohemia Interactive,M,PC
ArmA III,2013,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11,74,74.0,866.0,Bohemia Interactive,M,PC
Armed and Dangerous,2003,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13,79,72.0,15.0,Planet Moon Studios,T,XB
Armored Core 2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78,84.0,19.0,From Software,T,PS2
Armored Core 2: Another Age,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,75,88.0,30.0,From Software,T,PS2
Armored Core 3,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74,90.0,33.0,From Software,T,PS2
Armored Core 3 Portable,2009,Simulation,From Software,0.0,0.0,0.08,0.0,0.08,43,67.0,6.0,From Software,T,PSP
Armored Core 4,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65,72.0,31.0,From Software,T,"X360,PS3"
Armored Core V,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,65,73.0,47.0,From Software,T,"PS3,X360"
Armored Core: For Answer,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,64,77.0,38.0,From Software,T,"X360,PS3"
Armored Core: Last Raven,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59,89.0,14.0,From Software,T,PS2
Armored Core: Nexus,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,87.0,7.0,From Software,T,PS2
Armored Core: Nine Breaker,2004,Simulation,505 Games,0.03,0.03,0.0,0.01,0.07,57,82.0,5.0,From Software,T,PS2
Armored Core: Verdict Day,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66,74.0,28.0,From Software,T,PS3
Army Corps of Hell,2011,Action,Square Enix,0.04,0.04,0.0,0.02,0.09,57,66.0,28.0,"Entersphere, Inc.",M,PSV
Army Men: Air Attack 2,2000,Action,3DO,0.17,0.11,0.0,0.02,0.3,74,53.0,4.0,3DO,T,PS
Army Men: Green Rogue,2001,Action,3DO,0.06,0.05,0.0,0.02,0.13,39,38.0,4.0,3DO,T,PS2
Army Men: Major Malfunction,2006,Shooter,Global Star,0.01,0.0,0.0,0.0,0.02,36,40.0,5.0,Team 17,T,XB
Army Men: Sarge's Heroes 2,2000,Shooter,3DO,0.14,0.09,0.0,0.02,0.24,48,73.0,7.0,3DO,T,"PS,PS2"
Army Men: Sarge's War,2004,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15,56,67.0,7.0,3DO,T,GC
Army of Two,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72,76.0,233.0,EA Montreal,M,"X360,PS3"
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,0.62,0.24,0.0,0.09,0.95,73,73.0,126.0,EA Montreal,M,"X360,PS3,PSP"
Army of Two: The Devil's Cartel,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58,67.0,100.0,Visceral Games,M,"PS3,X360"
Arslan: The Warriors of Legend,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69,66.0,23.0,Omega Force,T,PS4
Art Academy,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,75,80.0,5.0,Headstrong Games,E,DS
Art Academy: Home Studio,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01,82,83.0,20.0,Headstrong Games,E,WiiU
Art Academy: Lessons for Everyone,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81,76.0,22.0,"Nintendo, Headstrong Games",E,3DS
Art of Fighting Anthology,2006,Fighting,Crave Entertainment,0.02,0.02,0.0,0.01,0.04,60,70.0,4.0,SNK Playmore,T,PS2
Arx Fatalis,2003,Role-Playing,Mindscape,0.04,0.01,0.0,0.0,0.05,71,82.0,6.0,Arkane Studios,M,XB
Asphalt 3D,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49,43,44.0,24.0,Gameloft,E10+,3DS
Asphalt: Injection,2011,Action,Ubisoft,0.13,0.06,0.0,0.03,0.22,49,48.0,28.0,Ubisoft,E10+,PSV
Asphalt: Urban GT,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59,60,75.0,13.0,Gameloft,E,DS
Assassin's Creed,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81,73.0,769.0,Ubisoft Montreal,M,"PS3,X360"
Assassin's Creed Chronicles: China,2015,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,69,64.0,83.0,"Climax Group, Climax Studios",T,PS4
Assassin's Creed II,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,88.0,1305.0,Ubisoft Montreal,M,"X360,PS3,PC"
Assassin's Creed II: Discovery,2009,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,69,73.0,22.0,Griptonite Games,T,DS
